ÈÍSLO,OBEC,POÈET VOLIÈÙ,VYDANÉ OBÁLKY,PLATNÉ HLASY,KANDIDUJÍCÍ STRANY
593231,Køi¾anovice u Vy¹kova,113,74,74,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593249,Kuèerov,415,239,235,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593257,Letonice,1 156,702,693,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593265,Lovèièky,529,350,348,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593273,Luleè,738,501,500,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593281,Lysovice,224,143,141,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593290,Malínky,124,87,86,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
550141,Medlovice,255,174,172,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593320,Mile¹ovice,535,274,271,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593338,Milonice,285,183,181,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593346,Moravské Málkovice,464,270,269,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
557048,Mouøínov,375,216,216,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593371,Nìmèany,627,425,425,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593389,Nemochovice,228,156,152,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593397,Nemojany,546,339,337,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593401,Nemotice,351,180,180,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593419,Nesovice,903,501,496,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593427,Nevojice,346,214,212,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593435,Ní¾kovice,560,382,381,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593443,Nové Sady,90,62,62,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
550132,Ol¹any,449,289,287,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593460,Orlovice,254,167,165,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593478,Otnice,1 239,760,757,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
550795,Podbøe¾ice,194,106,106,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593486,Podivice,152,105,105,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
550175,Podomí,337,212,211,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593494,Prusy-Bo¹kùvky,513,313,309,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593508,Pustimìø,1 400,902,898,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593516,Raèice-Pístovice,968,602,598,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593524,Radslavice,334,207,206,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593532,Ra¹ovice,529,319,316,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
554898,Rostìnice-Zvonovice,401,226,224,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593559,Rousínov,4 357,2 796,2 775,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593567,Ruprechtov,489,308,305,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
553972,Rybníèek,225,143,143,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
